HS_CODE2,HS_code,MFN_Rate,Preferential_Rate(Agreement rate),Countries(abbreviated) for Preferential_Rate(Agreement rate),Preferential_Tariff_Rate(Special_Preferential_Tariff_Rate),,General_Tariff_Rate
,,,6.5,AP,,,
,,,8,NI,,,
"""8507.3000""",8507.3000 - 10,10,0,"AS,CL,PK,NZ,SG,",0,LD,40
,,,,"PE,CR,CH,IS,KR,AU,GE,",,,
,,,,"RMU, AS R , AU R , NZ ,KH,",,,
,,,,"MV,HK,MO",,,
,,,6,"KR ,RS",,,
,,,6.4,JP,,,
,,,6.5,AP,,,
,,,8,NI,,,
,,,9,EC,,,
"""8507.5000""",8507.5000 - 10,10,0,"AS,CL,NZ,SG,PE,",0,LD,40
,,,,"CR,CH,IS,KR,AU,GE,MU,",,,
,,,,"KH,MV,HK,MO",,,
,,,2,PK,,,
,,,6,RS,,,
,,,6.5,AP,,,
,,,7.2,"AS R , AU , KR R , NZ",,,
,,,7.6,JP,,,
,,,8,NI,,,
,,,8.8,EC,,,
"""8507.6000""",8507.6000 - 10,10,0,"AS,CL,NZ,SG,PE,",0,LD,40
,,,,"CR,CH,IS,AU,GE,MU,KH,",,,
,,,,"MV,HK,MO",,,
,,,5,PK,,,
,,,8,"AP,RS",,,
,,,9.6,"KR, AS R , AU R , NZ",,,
"""8507.8030""",8507.8030 - 10,10,0,"AS,CL,NZ,SG,PE,",0,LD,40
,,,,"CR,CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU , NZ ,KH,MV,",,,
,,,,"HK,MO",,,
,,,2,PK,,,
,,,6,RS,,,
,,,6.5,AP,,,
,,,7.2,KR,,,
,,,7.6,JP,,,
,,,8,NI,,,
,,,9,EC,,,
"""8507.8090""",8507.8090 - 10,10,0,"AS,CL,NZ,SG,PE,",0,LD,40
,,,,"CR,CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU ,RNZ ,KH,MV,",,,
,,,,"HK,MO",,,
,,,2,PK,,,
,,,6,RS,,,
,,,6.5,AP,,,
,,,7.2,KR,,,
,,,7.6,JP,,,
,,,8,"NI,EC",,,
"""8507.9010""",8507.9010 - 10,10,0,"AS,CL,PK,NZ,PE,CR,",0,LD,90
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS , AU ,RNZ ,KH,EC,",,,
,,,,"MV,HK,MO",,,
,,,6,"KR ,RS",,5,
,,,,,,AP,
,,,6.4,RJP,,,
,,,8,NI,,,
"""8507.9090""",8507.9090 - 8?5,8?5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,40
,,,,"CH,IS,AU,GE,MU,KH,RS,",,,
,,,,"MV,HK,MO",,,
,,,2.1,KR,,4,
,,,,,,AP,
,,,4.8,"AS R , AU R , KR R , NZ ,",,,
,,,NI,,,,
,,,6,JP,,,
,,,6.4,EC,,,
"""85.08""",85.08,85.08,,,,,
"""8508.1100""","8508.1100 1500, 8",8,0,"AS,CL,PK,NZ,SG,",0,LD,130
"""20""",20,,,"PE,CR,CH,IS,KR,AU,GE,",,,
,,,,"MU,RAS , AU R , NZ ,KH,",,,
,,,,"EC,RS,MV,HK,MO,TW",,,
,,,4.8,NI,,,
,,,5.2,AP,,,
,,,6,KR,,,
,,,6.4,JP,,,
"""8508.1900""",8508.1900  0,0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS , AU R , JP , KR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""8508.6000""",8508.6000 - 0,0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU R , JP R , KR , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""8508.7010""",8508.7010 -8508.1100 6,6,0,"AS,CL,NZ,SG,PE,",0,LD,100
,,,,"CR,CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS ,RAU ,RNZ ,KH,NI,",,,
,,,,"EC,RS,MV,HK,MO",,,
,,,2.4,PK,,,
,,,7.2,RKR,,,
,,,7.6,RJP,,,
"""8508.7090""",8508.7090 - 0,0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,20
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU , JP , KR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""85.09""","85.09 ,85.08",,,,,,
"""-""",-,,,,,,
"""8509.4010""",8509.4010 - 7,7,0,"AS,CL,PK,NZ,SG,",0,LD,100
,,,,"PE,CR,CH,IS,AU,GE,MU,",,,
,,,,"KH,NI,RS,MV,HK,MO",,,
,,,4.2,EC,,,
,,,4.5,KR,,,
,,,8,"AS R , AU R , NZ",,,
"""8509.4090""",8509.4090 - 7,7,0,"AS,CL,PK,NZ,SG,",0,LD,100
,,,,"PE,CR,CH,IS,KR,AU,GE,",,,
,,,,"RMU, AS R , AU R , NZ ,KH,",,,
,,,,"NI,RS,MV,HK,MO,TW",,,
,,,4.2,EC,,,
,,,6,KR,,,
,,,6.4,JP,,,
"""8509.8010""",8509.8010 - 8,8,0,"AS,CL,NZ,SG,PE,",0,LD,100
,,,,"CR,IS,AU,GE,MU,KH,MV,",,,
,,,,"HK,MO",,,
,,,4.8,NI,,,
,,,6.4,RS,,,
,,,6.9,EC,,,
,,,8,"CH, AS R , AU , NZ",,,
,,,24,PK,,,
"""8509.8020""",8509.8020 - 8,8,0,"AS,CL,NZ,SG,PE,",0,LD,100
,,,,"CR,CH,IS,AU,GE,MU,KH,",,,
,,,,"EC,MV,HK,MO",,,
,,,4.8,NI,,,
,,,6.4,RS,,,
,,,9,KR,,,
,,,16,"PK,RAS R , AU ,RNZ",,,
"""8509.8090""",8509.8090 - 8,8,0,"AS,CL,NZ,SG,PE,",0,LD,100
,,,,"CR,IS,AU,GE,MU,KH,EC,",,,
,,,,"MV,HK,MO",,,
,,,4.8,NI,,,
,,,6.4,RS,,,
,,,8,"AS R , AU R , NZ",,,
,,,24,PK,,,
"""8509.9000""",8509.9000 - 6,6,0,"AS,CL,NZ,SG,PE,",0,LD,100
,,,,"CR,CH,IS,KR,AU,GE,MU,",,,
,,,,"KH,NI,EC,MV,HK,MO",,,
,,,2.4,PK,,,
,,,3.6,RS,,,
,,,7.2,"AS R , AU R , KR R , NZ",,,
,,,7.6,JP,,,
"""85.1""",85.1,85.1,,,,,
"""8510.1000""",8510.1000 - 8,8,0,"AS,CL,NZ,SG,PE,",0,LD,100
,,,,"CR,AU,GE,MU,KH,NI,MV,",,,
,,,,"HK,MO",,,
,,,6.4,"EC,RS",,,
,,,8,"RCH, AS , AU ,RNZ",,,
,,,24,PK,,,
"""8510.2000""",8510.2000 - 8,8,0,"AS,CL,NZ,SG,PE,",0,LD,100
,,,,"CR,IS,AU,GE,MU,KH,EC,",,,
,,,,"MV,HK,MO",,,
,,,4.8,NI,,,
,,,6.4,RS,,,
,,,8,"CH,RAS ,RAU , NZ",,,
,,,24,PK,,,
"""8510.3000""",8510.3000 - 8,8,0,"AS,CL,NZ,SG,PE,",0,LD,100
,,,,"CR,CH,IS,AU,GE,MU,KH,",,,
,,,,"MV,HK,MO",,,
,,,4.8,NI,,,
,,,5.3,KR,,,
,,,6.4,RS,,,
,,,6.9,EC,,,
,,,12,"AS ,RAU R , KR ,RNZ",,,
,,,15,JP,,,
,,,16,PK,,,
"""8510.9000""",8510.9000 - 8,8,0,"AS,CL,NZ,SG,PE,",0,LD,100
,,,,"CR,CH,IS,AU,GE,MU,KH,",,,
,,,,"MV,HK,MO",,,
,,,4.8,"NI,RS",,,
,,,6.9,EC,,,
,,,11,KR,,,
,,,19.6,"PK, AS R , AU R , NZ",,,
,,,19.8,JP,,,
"""85.11""",85.11,85.11,,,,,
"""(,""","(,",,,,,,
""")""",),,,,,,
"""(,""","(,",,,,,,
"""8511.1000""",8511.1000 -,8,0,"AS,CL,NZ,SG,PE,",0,LD,30
,,,,"CR,CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU R , NZ ,KH,RS,",,,
,,,,"MV,HK,MO",,,
,,,2,PK,,,
,,,4.8,"NI,EC",,,
,,,6,RKR,,,
,,,6.4,JP,,,
"""-""",-,,,,,,
"""8511.2010""",8511.2010 -,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,11
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU R , JP , KR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""8511.2090""",8511.2090 -,8,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS , AU R , NZ ,KH,RS,",,,
,,,,"MV,HK,MO",,,
,,,4.8,"NI,EC",,,
,,,6,RKR,,,
,,,6.4,JP,,,
"""-""",-,,,,,,
"""8511.3010""",8511.3010 -,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,11
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU , JP , KR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""8511.3090""",8511.3090 -,8,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,AU,GE,MU,KH,RS,",,,
,,,,"MV,HK,MO",,,
,,,2.2,KR,,,
,,,4.8,NI,,,
,,,6.2,"AS R , KR",,,
,,,6.3,RJP,,,
,,,6.4,EC,,,
,,,6.7,"AU R , NZ",,,
"""8511.4010""",8511.4010 -,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,11
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU ,RNZ ,KH,NI,",,,
,,,,"EC,RS,MV,HK,MO",,,
,,,3,KR,,,
,,,3.2,JP,,,
"""8511.4091""",8511.4091 132.39(180,8,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
""")""",),,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"AS , AU R , NZ ,KH,MV,",,,
,,,,"HK,MO",,,
,,,4.8,"NI,RS",,,
,,,5,KR,,,
,,,5.3,JP,,,
,,,6.4,EC,,,
"""8511.4099""",8511.4099,8,0,"AS,CL,NZ,PE,CR,CH,",0,LD,30
,,,,"IS,AU,GE,MU,KH,MV,HK,",,,
,,,,MO,,,
,,,2.2,KR,,,
,,,4,PK,,,
,,,4.8,"NI,RS",,,
,,,6.2,"RAS , KR",,,
,,,6.3,JP,,,
,,,6.4,EC,,,
,,,6.7,"AU R , NZ",,,
"""8511.5010""",8511.5010 -,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,11
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU ,RNZ ,KH,NI,",,,
,,,,"EC,RS,MV,HK,MO",,,
,,,3,KR,,,
,,,3.2,JP,,,
"""8511.5090""",8511.5090 -,8,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,AU,GE,MU,KH,RS,",,,
,,,,"MV,HK,MO",,,
,,,4.8,NI,,,
,,,5,"RAS , AU ,RNZ",,,
,,,6.9,EC,,,
"""8511.8000""",8511.8000 -,8,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS , AU R , NZ ,KH,MV,",,,
,,,,"HK,MO",,,
,,,4.8,"NI,RS",,,
,,,5,KR,,,
,,,5.3,RJP,,,
,,,6.9,EC,,,
"""8511.9010""",8511.9010 -,4.5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,11
,,,,"CH,IS,AU,GE,MU,KH,NI,",,,
,,,,"EC,RS,MV,HK,MO",,,
,,,4.1,"RAS , AU ,RNZ",,,
"""8511.9090""",8511.9090 -,5,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU , NZ ,KH,NI,",,,
,,,,"EC,RS,MV,HK,MO",,,
,,,3,KR,,,
,,,3.8,JP,,,
"""85.12""",85.12,85.12,,,,,
"""(85.39""",(85.39,,,,,,
""")""",),,,,,,
"""8512.1000""",8512.1000 - 10,10,0,"AS,CL,NZ,SG,PE,",0,LD,45
,,,,"CR,CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS , AU R , NZ ,KH,MV,",,,
,,,,"HK,MO",,,
,,,2,PK,,,
,,,6,RS,,,
,,,6.3,KR,,,
,,,6.7,JP,,,
,,,8,NI,,,
,,,9,EC,,,
"""8512.2010""",8512.2010 - 10,10,0,"CL,NZ,PE,CR,CH,IS,",0,LD,45
,,,,"AU,GE,MU,KH,MV,HK,",,,
,,,,"MO,TW",,,
,,,4.5,KR,,,
,,,5,AS,,,
,,,6,"RAS ,RS",,,
,,,6.4,JP,,,
,,,8,"PK,NI",,,
,,,8.8,EC,,,
,,,9,"AU ,RNZ",,,
,,,10,KR,,,
"""8512.2090""",8512.2090 - 10,10,0,"CL,NZ,PE,CR,CH,IS,",0,LD,45
,,,,"AU,GE,MU,KH,MV,HK,",,,
,,,,MO,,,
,,,4.5,KR,,,
,,,5,AS,,,
,,,6,RS,,,
,,,8,"PK, AS ,NI",,,
,,,8.1,JP,,,
,,,8.8,EC,,,
,,,9,"AU ,RNZ",,,
"""8512.3011""",8512.3011  10,10,0,"CL,NZ,PE,CR,CH,IS,",0,LD,45
,,,,"AU,GE,MU,KH,MV,HK,",,,
,,,,MO,,,
,,,2.6,KR,,,
,,,3.4,PK,,,
,,,5,AS,,,
,,,6,"AS ,RS",,,
,,,6.4,JP,,,
,,,6.5,AP,,,
,,,8,"AU ,NI",,,
,,,8.8,EC,,,
,,,9,NZ,,,
"""8512.3012""",8512.3012  10,10,0,"AS,CL,PK,NZ,PE,CR,",0,LD,40
,,,,"CH,IS,AU,GE,MU,KH,MV,",,,
,,,,"HK,MO",,,
,,,2.6,KR,,,
,,,6,"AS ,RAU , KR ,RNZ ,",,,
,,,RS,,,,
,,,6.5,AP,,,
,,,7.5,JP,,,
,,,8,NI,,,
,,,9,EC,,,
"""8512.3019""",8512.3019  10,10,0,"CL,NZ,PE,CR,CH,IS,",0,LD,45
,,,,"AU,GE,MU,KH,MV,HK,",,,
,,,,MO,,,
,,,2.6,KR,,,
,,,3.4,PK,,,
,,,5,AS,,,
,,,6,"AS ,RS",,,
,,,6.4,JP,,,
,,,6.5,AP,,,
,,,8,"AU ,NI",,,
,,,8.8,EC,,,
,,,9,RNZ,,,
,,,10,KR,,,
"""8512.3090""",8512.3090 - 10,10,0,"CL,NZ,PE,CR,CH,IS,",0,LD,45
,,,,"AU,GE,MU,KH,MV,HK,",,,
,,,,MO,,,
,,,3.4,PK,,,
,,,5,AS,,,
,,,6,"AS ,RS",,,
,,,6.4,JP,,,
,,,6.5,AP,,,
,,,8,NI,,,
,,,8.8,EC,,,
"""8512.4000""",8512.4000 - 10,10,0,"CL,NZ,PE,CR,CH,IS,",0,LD,45
,,,,"AU,GE,MU,KH,MV,HK,",,,
,,,,MO,,,
,,,5,AS,,,
,,,6,RS,,,
,,,8,"PK,NI",,,
,,,9,EC,,,
"""8512.9000""",8512.9000 - 8,8,0,"AS,CL,NZ,PE,CR,CH,",0,LD,45
,,,,"RIS,KR,AU,GE,MU, AS ,",,,
,,,,"RAU R , NZ ,KH,EC,MV,",,,
,,,,"HK,MO",,,
,,,4,PK,,,
,,,4.8,"KR ,NI",,,
,,,6,RJP,,,
,,,6.4,RS,,,
"""85.13,""","85.13,",,,,,,
""")""",),,,,,,
""",85.12""",",85.12",,,,,,
"""8513.1010""",8513.1010 - 5,5,0,"AS,CL,NZ,SG,PE,",0,LD,100
,,,,"CR,CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS ,RAU , NZ ,KH,NI,",,,
,,,,"EC,RS,MV,HK,MO",,,
,,,3.3,AP,,,
,,,6,PK,,,
,,,9,KR,,,
,,,9.5,JP,,,
"""8513.1090""",8513.1090 - 6,6,0,"AS,CL,NZ,SG,PE,",0,LD,70
,,,,"CR,CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS , AU R , NZ ,KH,NI,",,,
,,,,"EC,MV,HK,MO",,,
,,,3.6,RS,,,
,,,5.6,PK,,,
,,,10.5,KR,,,
,,,11.1,JP,,,
"""8513.9010""",8513.9010 - 5,5,0,"AS,CL,NZ,SG,PE,",0,LD,100
,,,,"CR,CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU ,RNZ ,KH,NI,",,,
,,,,"EC,RS,MV,HK,MO",,,
,,,4.5,PK,,,
,,,8.4,KR,,,
,,,8.9,JP,,,
"""8513.9090""",8513.9090 - 5,5,0,"AS,CL,NZ,SG,PE,",0,LD,70
,,,,"CR,CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU R , NZ ,KH,NI,",,,
,,,,"EC,RS,MV,HK,MO",,,
,,,4.5,PK,,,
,,,8.4,KR,,,
,,,8.9,RJP,,,
"""85.14""",85.14,85.14,,,,,
"""(""",(,,,,,,
""")""",),,,,,,
"""8514.1100""",8514.1100  0,0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS , AU R , JP , KR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""8514.1910""",8514.1910 - 0,0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU R , JP R , KR , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""8514.1990""",8514.1990 - 0,0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU R , JP , KR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""8514.2000""",8514.2000 - 0,0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU R , JP R , KR , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""8514.3100""",8514.3100  0,0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU , JP , KR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""8514.3200""",8514.3200  0,0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS ,RAU , JP ,RKR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""8514.3900""",8514.3900  0,0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU R , JP R , KR ,RNZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""8514.4000""",8514.4000 - 10,10,0,"AS,CL,NZ,SG,PE,",0,LD,30
,,,,"CR,CH,IS,KR,AU,GE,MU,",,,
,,,,"KH,MV,HK,MO",,,
,,,2,PK,,,
,,,6,"AS , AU R , KR R , NZ ,",,,
,,,RS,,,,
,,,6.4,RJP,,,
,,,8,NI,,,
,,,8.8,EC,,,
"""8514.9010""",8514.9010 - 8,8,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU R , KR , NZ ,KH,",,,
,,,,"RS,MV,HK,MO",,,
,,,4.8,NI,,,
,,,5.1,JP,,,
,,,6.9,EC,,,
"""8514.9090""",8514.9090 - 0,0,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS , AU R , JP , KR R , NZ ,",,,
,,,,"KH,NI,EC,RS,MV,HK,",,,
,,,,MO,,,
"""85.15""",85.15,85.15,,,,,
,",",,,,,,
"""8515.11""",8515.11,10,0,"AS,CL,PK,NZ,SG,",0,LD,30
,,,,"PE,CR,CH,IS,KR,AU,GE,",,,
,,,,"RMU, AS R , AU , NZ ,KH,",,,
,,,,"EC,HK,MO",,,
,,,6,"KR ,RS",,,
,,,6.4,JP,,,
,,,8,"NI,MV",,,
"""8515.19""",8515.19,10,0,"AS,CL,PK,NZ,SG,",0,LD,30
,,,,"PE,CR,IS,AU,GE,MU,KH,",,,
,,,,"HK,MO",,,
,,,2,CH,,,
,,,5,"AS ,RAU , NZ",,,
,,,6,RS,,,
,,,8,"NI,MV",,,
,,,8.8,EC,,,
"""8515.2120""",8515.2120 -,10,0,"AS,CL,NZ,SG,PE,",0,LD,30
,,,,"CR,IS,AU,GE,MU,KH,HK,",,,
,,,,MO,,,
,,,2,PK,,,
,,,4.5,KR,,,
,,,6,RS,,,
,,,8,"AS R , AU ,RNZ ,NI,MV",,,
,,,9,EC,,,
"""8515.2191""",8515.2191,10,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,AU,GE,MU,KH,EC,",,,
,,,,"HK,MO",,,
,,,4.5,KR,,,
,,,8,"AS R , AU R , NZ ,NI,RS,",,,
,,,,MV,,,
"""8515.2199""",8515.2199,10,0,"AS,CL,NZ,SG,PE,",0,LD,30
,,,,"CR,IS,AU,GE,MU,KH,HK,",,,
,,,,MO,,,
,,,2,PK,,,
,,,4.5,KR,,,
,,,6,RS,,,
,,,8,"AS R , AU ,RNZ ,NI,MV",,,
,,,8.8,EC,,,
"""8515.29""",8515.29,10,0,"AS,CL,PK,NZ,SG,",0,LD,30
,,,,"PE,CR,CH,IS,AU,GE,MU,",,,
,,,,"KH,HK,MO",,,
,,,4.5,KR,,,
,,,6,RS,,,
,,,6.5,AP,,,
,,,8,"AS R , AU ,RNZ ,NI,MV",,,
,,,8.8,EC,,,
"""-(""",-(,,,,,,
"""8515.3120""",8515.3120 - 10,10,0,"CL,NZ,PE,CR,CH,IS,",0,LD,30
,,,,"AU,GE,MU,KH,HK,MO",,,
,,,4.5,KR,,,
,,,5,AS,,,
,,,6,RS,,,
,,,8,"PK,NI,MV",,,
,,,9,EC,,,
"""8515.3191""",8515.3191  10,10,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS , AU ,RNZ ,KH,HK,",,,
,,,,MO,,,
,,,6,"KR ,RS",,,
,,,6.4,JP,,,
,,,8,"NI,MV",,,
,,,8.7,EC,,,
"""8515.3199""",8515.3199  10,10,0,"CL,NZ,PE,CR,CH,IS,",0,LD,30
,,,,"AU,GE,MU,KH,HK,MO",,,
,,,4.5,KR,,,
,,,6,RS,,,
,,,8,"PK,NI,MV",,,
,,,8.8,EC,,,
"""8515.3900""",8515.3900  10,10,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS , AU ,RNZ ,KH,HK,",,,
,,,,MO,,,
,,,6,"KR ,RS",,,
,,,6.4,JP,,,
,,,8,"NI,MV",,,
,,,9,EC,,,
"""8515.8010""",8515.8010 - 8,8,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"RIS,  KR,  AU,  GE,  MU, AS ,",,,
,,,,"RAU , KR R , NZ ,KH,RS,",,,
,,,,"MV,HK,MO,TW",,,
,,,1.6,CH,,,
,,,4.8,NI,,,
,,,5.2,AP,,,
,,,6.5,JP,,,
,,,6.9,EC,,,
"""8515.8090""",8515.8090 - 8,8,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"RIS,  KR,  AU,  GE,  MU, AS ,",,,
,,,,"RAU , KR ,RNZ ,KH,EC,",,,
,,,,"RS,MV,HK,MO,TW",,,
,,,1.6,CH,,,
,,,4.8,NI,,,
,,,5.1,JP,,,
,,,5.2,AP,,,
"""8515.9000""",8515.9000 - 6,6,0,"AS,CL,PK,NZ,PE,CR,",0,LD,30
,,,,"CH,IS,KR,AU,GE,MU,KH,",,,
,,,,"NI,EC,RS,MV,HK,MO",,,
,,,3.6,"AS , AU R , KR R , NZ",,,
,,,3.8,JP,,,
,,,3.9,AP,,,
""")""",),,,,,,
"""85.16""",85.16,85.16,,,,,
"""(,""","(,",,,,,,
""")""",),,,,,,
""",85.45""",",85.45",,,,,,
"""-""",-,,,,,,
"""8516.1010""",8516.1010 - 7,7,0,"AS,CL,PK,NZ,SG,",0,LD,100
,,,,"PE,CR,CH,IS,KR,AU,GE,",,,
,,,,"RMU, AS R , AU ,RNZ ,KH,",,,
,,,,"NI,EC,RS,MV,HK,MO",,,
,,,6,RKR,,,
,,,6.4,JP,,,
"""8516.1020""",8516.1020 - 7,7,0,"AS,CL,PK,NZ,SG,",0,LD,100
,,,,"PE,CR,CH,IS,KR,AU,GE,",,,
,,,,"RMU, AS , AU R , NZ ,KH,",,,
,,,,"NI,RS,MV,HK,MO",,,
,,,4.2,EC,,,
,,,6,KR,,,
,,,6.4,JP,,,
"""8516.1090""",8516.1090 - 7,7,0,"AS,CL,PK,NZ,SG,",0,LD,100
,,,,"PE,CR,CH,IS,AU,GE,MU,",,,
,,,,"KH,NI,RS,MV,HK,MO",,,
,,,4.2,EC,,,
,,,7,"AS , AU R , NZ",,,
"""8516.2100""",8516.2100  7,7,0,"AS,CL,NZ,SG,PE,",0,LD,100
,,,,"CR,IS,AU,GE,MU,KH,NI,",,,
,,,,"MV,HK,MO,TW",,,
,,,4.2,"EC,RS",,,
,,,7,"CH, AS R , AU R , NZ",,,
"""8516.2910""",8516.2910 - 7,7,0,"AS,CL,PK,NZ,PE,CR,",0,LD,40
,,,,"CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU ,RNZ ,KH,NI,",,,
,,,,"EC,RS,MV,HK,MO",,,
,,,5.6,AP,,,
,,,6,KR,,,
,,,6.4,JP,,,
"""8516.2920""",8516.2920 - 7,7,0,"AS,CL,PK,NZ,SG,",0,LD,100
,,,,"PE,CR,CH,IS,KR,AU,GE,",,,
,,,,"MU,RAS ,RAU R , NZ ,KH,",,,
,,,,"NI,RS,MV,HK,MO",,,
,,,4.2,EC,,,
,,,6,KR,,,
,,,6.4,JP,,,
"""8516.2931""",8516.2931  7,7,0,"AS,CL,PK,NZ,SG,",0,LD,100
,,,,"PE,CR,CH,IS,KR,AU,GE,",,,
,,,,"RMU, AS R , AU , NZ ,KH,",,,
,,,,"NI,EC,RS,MV,HK,MO",,,
,,,6,RKR,,,
,,,6.4,RJP,,,
"""8516.2932""",8516.2932  7,7,0,"AS,CL,PK,NZ,SG,",0,LD,100
,,,,"PE,CR,CH,IS,KR,AU,GE,",,,
,,,,"MU,RAS , AU ,RNZ ,KH,",,,
,,,,"NI,EC,RS,MV,HK,MO",,,
,,,6,KR,,,
,,,6.4,JP,,,
"""8516.2939""",8516.2939  7,7,0,"AS,CL,PK,NZ,SG,",0,LD,100
,,,,"PE,CR,CH,IS,KR,AU,GE,",,,
,,,,"RMU, AS R , AU , NZ ,KH,",,,
,,,,"NI,EC,RS,MV,HK,MO",,,
,,,6,KR,,,
,,,6.4,JP,,,
"""8516.2990""",8516.2990 - 7,7,0,"AS,CL,NZ,SG,PE,",0,LD,100
,,,,"CR,CH,IS,KR,AU,GE,MU,",,,
,,,,"RAS R , AU R , NZ ,KH,NI,",,,
,,,,"EC,RS,MV,HK,MO",,,
,,,4,PK,,,
,,,6,KR,,,
,,,6.4,JP,,,
"""8516.3100""",8516.3100  7,7,0,"AS,CL,PK,NZ,SG,",0,LD,100
